Date,Retail_Sales,Energy_Consumption,Stock_Price_Index,Unemployment_Rate
2019-01-01,102.48,412.81,1002.87,5.5
2019-02-01,108.16,428.78,1000.64,5.69
2019-03-01,118.94,445.1,1005.35,5.37
2019-04-01,126.68,484.6,1001.65,5.09
2019-05-01,117.24,555.58,1003.91,5.36
2019-06-01,113.11,593.86,1010.98,5.33
2019-07-01,116.03,584.0,1008.51,5.6
2019-08-01,105.83,590.27,1007.31,5.71
2019-09-01,95.51,552.2,1008.11,5.63
2019-10-01,99.92,497.95,1007.1,5.33
2019-11-01,98.25,473.9,1002.95,4.93
2019-12-01,105.09,463.11,1003.65,4.97
2020-01-01,117.48,429.63,1000.96,5.38
2020-01-01,115.56,465.2,1002.89,5.48
2020-03-01,123.35,432.57,1000.63,5.11
2020-03-01,132.53,525.04,1005.78,5.28
2020-04-01,129.62,554.87,1003.93,5.46
2020-05-01,132.12,579.2,1003.46,5.21
2020-06-01,119.87,596.63,1006.4,5.34
2020-07-01,111.2,555.57,1003.21,5.41
2020-08-01,121.46,553.65,1004.39,5.09
2020-09-01,112.35,523.15,1008.81,5.32
2020-10-01,117.18,500.81,1004.49,5.54
2020-11-01,116.56,442.44,1005.54,5.86
2020-12-01,129.82,428.21,1006.82,6.06
2021-01-01,141.95,444.38,1009.67,5.48
2021-02-01,142.49,495.76,1006.46,5.21
2021-03-01,153.49,527.81,1003.0,5.45
2021-04-01,147.95,555.78,1005.06,5.62
2021-05-01,145.36,601.56,1006.45,5.74
2021-06-01,137.67,606.88,1007.71,6.82
2021-07-01,143.8,610.08,1009.24,6.6
2021-08-01,130.33,556.59,1007.7,6.61
2021-09-01,124.46,523.05,1008.9,6.56
2021-10-01,137.22,482.93,1010.28,6.44
2021-11-01,133.85,438.43,1008.64,6.06
2021-12-01,149.86,454.95,1014.73,6.12
2022-01-01,147.87,465.99,1016.66,5.7
2022-02-01,157.87,492.28,1013.58,5.57
2022-03-01,168.87,529.53,1016.05,5.4
2022-04-01,170.92,552.67,1013.63,5.46
2022-05-01,163.95,597.72,1016.49,6.16
2022-06-01,156.37,610.45,1020.47,5.41
2022-07-01,149.3,593.69,1018.5,5.64
2022-08-01,139.28,574.87,1021.89,5.11
2022-09-01,142.42,544.2,1023.63,5.09
2022-10-01,147.08,527.28,1026.6,5.54
2022-11-01,161.51,473.17,1032.79,5.55
2022-12-01,166.8,464.54,1032.55,5.21
2023-01-01,165.13,471.13,1030.79,5.08
2023-02-01,182.41,473.59,1028.62,5.41
2023-03-01,182.23,542.82,1026.67,5.22
2023-04-01,180.11,584.97,1026.94,5.37
2023-05-01,182.42,651.15,1028.47,5.42
2023-06-01,178.38,622.88,1029.8,5.25
2023-07-01,171.73,620.42,1032.78,5.97
2023-08-01,158.75,586.94,1033.32,6.02
2023-09-01,160.74,530.77,1038.18,5.25
2023-10-01,167.31,526.29,1037.88,5.38
2023-11-01,177.38,492.0,1046.54,5.22
